challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
s-F2F-1,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.93869,0.39435,0.26808,0.96936
s-F2F-1,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.87299,0.5669,0.37565,0.93459
s-F2F-1,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.94716,0.34035,0.2211,0.97358
s-F2F-1,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.85363,0.56571,0.36711,0.9241
s-F2F-1,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,73,100,100,sqrt,0.25,1,2,0.89727,0.47792,0.32525,0.9487
s-F2F-1,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,73,100,100,sqrt,0.25,1,2,0.56304,0.96613,0.73826,0.76946
s-F2F-1,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.95571,0.33687,0.21689,0.97774
s-F2F-1,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.613,0.97506,0.74473,0.79793
s-F2F-1,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.95477,0.3387,0.21941,0.97738
s-F2F-1,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.87282,0.56729,0.36463,0.93437
s-F2F-1,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.92893,0.39472,0.26756,0.96441
s-F2F-1,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.85326,0.56653,0.37336,0.92396
s-F2F-1,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,12,50,50,sqrt,0.5,1,2,0.938,0.39881,0.26704,0.96895
s-F2F-1,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,12,50,50,sqrt,0.5,1,2,0.61363,0.97619,0.75363,0.79914
s-F2F-1,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,100,50,sqrt,0.25,1,2,0.89576,0.4814,0.32757,0.94783
s-F2F-1,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,100,50,sqrt,0.25,1,2,0.54724,0.98084,0.76116,0.75989
s-F2F-1,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94753,0.33914,0.22065,0.97379
s-F2F-1,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.8525,0.56793,0.36661,0.92349
s-F2F-1,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.95463,0.33922,0.22059,0.97734
s-F2F-1,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.87278,0.56732,0.36708,0.93437
s-F2F-1,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.94123,0.38825,0.25961,0.97044
s-F2F-1,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,100,50,100,sqrt,1.0,1,5,0.5988,0.99378,0.76303,0.79422
s-F2F-1,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94909,0.33621,0.21601,0.97441
s-F2F-1,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.54317,0.98739,0.75858,0.76157
s-F2F-1,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.94778,0.33835,0.22014,0.97392
s-F2F-1,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.85516,0.56272,0.36533,0.92496
s-F2F-1,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.95489,0.33825,0.21984,0.97747
s-F2F-1,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.87475,0.56288,0.36543,0.93544
s-F2F-1,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,86,150,100,sqrt,0.5,1,2,0.93058,0.39277,0.26378,0.96534
s-F2F-1,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,86,150,100,sqrt,0.5,1,2,0.53255,0.9907,0.75945,0.74922
s-F2F-1,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.95567,0.33708,0.21675,0.97773
s-F2F-1,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.58887,0.99734,0.76399,0.78615
s-F2F-1,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.94273,0.38112,0.25661,0.97127
s-F2F-1,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,31,300,50,sqrt,1.0,1,5,0.86997,0.57334,0.37275,0.93285
s-F2F-1,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.93356,0.38163,0.25639,0.96664
s-F2F-1,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,103,300,100,sqrt,1.0,1,5,0.84982,0.5728,0.37255,0.922
s-F2F-1,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.94845,0.33832,0.2169,0.97406
s-F2F-1,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.51216,1.01882,0.78179,0.74453
s-F2F-1,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,144,50,200,sqrt,0.25,1,2,0.90609,0.49099,0.33077,0.95276
s-F2F-1,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,144,50,200,sqrt,0.25,1,2,0.5828,1.0178,0.77923,0.7842
s-F2F-1,Mordred,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.94204,0.38342,0.25833,0.97086
s-F2F-1,Mordred,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.87058,0.57224,0.37473,0.93318
s-F2F-1,Mordred,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.93281,0.38379,0.25861,0.96619
s-F2F-1,Mordred,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,173,100,200,sqrt,1.0,1,5,0.85019,0.57232,0.37439,0.92222
s-F2F-1,Mordred,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.94878,0.33726,0.21671,0.97421
s-F2F-1,Mordred,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.54386,0.98529,0.76093,0.75725
s-F2F-1,Mordred,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.95514,0.33903,0.21811,0.97743
s-F2F-1,Mordred,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.60204,0.9909,0.75931,0.7938
s-F2F-1,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.94358,0.35169,0.23573,0.97212
s-F2F-1,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.82336,0.62106,0.41372,0.90779
s-F2F-1,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.95153,0.35062,0.23455,0.976
s-F2F-1,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.84856,0.61853,0.41174,0.92147
s-F2F-1,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,180,50,200,1,0.25,1,2,0.84366,0.5896,0.41101,0.92205
s-F2F-1,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,180,50,200,1,0.25,1,2,0.47862,1.05275,0.81903,0.69874
s-F2F-1,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,146,150,200,sqrt,0.25,1,2,0.88992,0.53157,0.36621,0.945
s-F2F-1,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,146,150,200,sqrt,0.25,1,2,0.54178,1.06064,0.82765,0.74719
s-F2F-2,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.98204,0.21907,0.13089,0.99119
s-F2F-2,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.93138,0.42734,0.24634,0.96533
s-F2F-2,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.97789,0.22039,0.13131,0.98915
s-F2F-2,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.91822,0.42311,0.24535,0.95855
s-F2F-2,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.98212,0.21107,0.12475,0.99118
s-F2F-2,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.652,0.9159,0.67101,0.82713
s-F2F-2,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.97895,0.20851,0.12309,0.98962
s-F2F-2,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.57931,0.91648,0.67321,0.78179
s-F2F-2,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.98204,0.21908,0.13082,0.99115
